z_id,coupling_type,times,lats,lons,winds
EQ-20070818165500353421403452052__TC-TY0720,EQ-TY,2007-10-28T00:00:00Z,39.9,149.3,0.0
EQ-20070818165500353421403452052__TC-TY0720,EQ-TY,2007-10-28T06:00:00Z,40.5,152.6,0.0
EQ-20070818165500353421403452052__TC-TY0720,EQ-TY,2007-10-28T12:00:00Z,41.1,157.0,0.0
EQ-20070818165500353421403452052__TC-TY0720,EQ-TY,2007-10-28T18:00:00Z,42.8,162.9,0.0
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-08-27T18:00:00Z,16.7,152.5,0.0
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-08-28T00:00:00Z,17.4,153.1,0.0
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-08-28T06:00:00Z,18.3,154.1,0.0
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-08-28T12:00:00Z,19.2,154.8,0.0
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-08-28T18:00:00Z,20.0,155.3,0.0
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-08-29T00:00:00Z,21.0,155.7,18.00554
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-08-29T06:00:00Z,21.7,156.1,20.57776
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-08-29T12:00:00Z,22.4,156.8,25.7222
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-08-29T18:00:00Z,23.4,156.9,28.29442
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-08-30T00:00:00Z,24.0,156.9,30.86664
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-08-30T06:00:00Z,24.5,157.0,30.86664
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-08-30T12:00:00Z,25.8,156.9,33.43886
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-08-30T18:00:00Z,26.3,156.0,33.43886
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-08-31T00:00:00Z,26.5,155.2,36.01108
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-08-31T06:00:00Z,27.0,154.8,36.01108
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-08-31T12:00:00Z,27.5,153.9,36.01108
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-08-31T18:00:00Z,27.7,153.2,33.43886
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-09-01T00:00:00Z,28.0,152.3,33.43886
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-09-01T06:00:00Z,28.0,151.7,33.43886
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-09-01T12:00:00Z,27.9,150.8,33.43886
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-09-01T18:00:00Z,27.8,150.4,33.43886
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-09-02T00:00:00Z,27.6,149.8,33.43886
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-09-02T06:00:00Z,27.3,148.8,33.43886
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-09-02T12:00:00Z,27.1,148.3,33.43886
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-09-02T18:00:00Z,27.0,147.7,33.43886
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-09-03T00:00:00Z,26.9,147.2,33.43886
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-09-03T06:00:00Z,27.1,146.5,33.43886
EQ-20070716153700375031386432358__TC-TY0709,EQ-TY,2007-09-03T12:00:00Z,27.2,145.7,30.86664
